Member_number,Date,itemDescription,Item Expiration
2870,21/01/2015,whole milk,21/04/2024
3429,26/04/2015,seasonal products,26/07/2024
4148,09/04/2015,soda,09/07/2024
2970,30/12/2015,meat,30/03/2025
2013,30/08/2015,rolls/buns,30/11/2024
3967,30/05/2015,yogurt,30/08/2024
2885,15/05/2015,hamburger meat,15/08/2024
3935,02/07/2015,berries,02/10/2024
3283,01/05/2015,soda,01/08/2024
3268,06/11/2015,long life bakery product,06/02/2025
3677,30/04/2015,tropical fruit,30/07/2024
3495,27/06/2015,hard cheese,27/09/2024
1410,04/10/2015,liquor,04/01/2025
2440,06/06/2015,whole milk,06/09/2024
4088,13/01/2015,pip fruit,13/04/2024
2469,23/09/2015,frozen vegetables,23/12/2024
4229,06/03/2015,soda,06/06/2024
2728,02/08/2015,root vegetables,02/11/2024
4694,25/01/2015,sausage,25/04/2024
2836,29/12/2015,berries,29/03/2025
1311,12/02/2015,berries,12/05/2024
1760,23/01/2015,sausage,23/04/2024
3656,02/03/2015,frozen fish,02/06/2024
3720,28/05/2015,white bread,28/08/2024
2996,26/09/2015,dishes,26/12/2024
1949,22/07/2015,soda,22/10/2024
4498,11/02/2015,whole milk,11/05/2024
2447,28/12/2015,butter,28/03/2025
1952,23/03/2015,canned beer,23/06/2024
4099,27/01/2015,misc. beverages,27/04/2024
1804,12/03/2015,berries,12/06/2024
1510,16/05/2015,ice cream,16/08/2024
2879,18/04/2015,chocolate,18/07/2024
4899,12/03/2015,chicken,12/06/2024
4326,29/09/2015,root vegetables,29/12/2024
1670,17/05/2015,citrus fruit,17/08/2024
1117,24/05/2015,whole milk,24/08/2024
1346,03/04/2015,tropical fruit,03/07/2024
1178,15/11/2015,chocolate,15/02/2025
1649,25/06/2015,white wine,25/09/2024
4651,21/06/2015,citrus fruit,21/09/2024
4243,02/04/2015,detergent,02/07/2024
4429,21/07/2015,rolls/buns,21/10/2024
4645,25/07/2015,whole milk,25/10/2024
4019,24/07/2015,margarine,24/10/2024
4459,26/04/2015,soda,26/07/2024
3006,27/12/2015,pork,27/03/2025
1834,17/09/2015,shopping bags,17/12/2024
3236,04/07/2015,condensed milk,04/10/2024
1765,11/03/2015,beef,11/06/2024
3855,09/03/2015,citrus fruit,09/06/2024
4392,28/11/2015,whole milk,28/02/2025
3330,26/07/2015,chewing gum,26/10/2024
1723,02/09/2015,sliced cheese,02/12/2024
4110,30/03/2015,pork,30/06/2024
2600,28/01/2015,frozen meals,28/04/2024
2946,07/10/2015,pip fruit,07/01/2025
2426,08/09/2015,tropical fruit,08/12/2024
4170,03/05/2015,frozen meals,03/08/2024
1109,06/04/2015,frozen vegetables,06/07/2024
3429,04/01/2015,curd,04/04/2024
2055,04/02/2015,chicken,04/05/2024
2480,20/09/2015,soda,20/12/2024
2441,30/05/2015,bottled water,30/08/2024
1054,04/10/2015,citrus fruit,04/01/2025
4818,11/01/2015,canned beer,11/04/2024
3379,21/01/2015,bottled water,21/04/2024
3939,10/02/2015,cake bar,10/05/2024
1367,05/08/2015,beef,05/11/2024
1043,10/01/2015,rolls/buns,10/04/2024
2231,17/10/2015,soda,17/01/2025
3235,28/12/2015,ice cream,28/03/2025
4554,16/07/2015,citrus fruit,16/10/2024
3245,24/01/2015,white wine,24/04/2024
2996,19/05/2015,UHT-milk,19/08/2024
2507,05/01/2015,bottled water,05/04/2024
4186,25/10/2015,whole milk,25/01/2025
3929,28/04/2015,root vegetables,28/07/2024
3760,22/11/2015,UHT-milk,22/02/2025
4928,18/08/2015,spread cheese,18/11/2024
4217,18/12/2015,yogurt,18/03/2025
1174,11/02/2015,soft cheese,11/05/2024
4103,19/06/2015,red/blush wine,19/09/2024
4408,13/03/2015,white bread,13/06/2024
2588,28/12/2015,yogurt,28/03/2025
2598,11/11/2015,brandy,11/02/2025
1518,11/12/2015,pork,11/03/2025
2702,08/04/2015,bottled water,08/07/2024
1001,20/01/2015,soda,20/04/2024
2270,30/09/2015,soda,30/12/2024
2838,10/11/2015,bottled water,10/02/2025
1683,26/05/2015,turkey,26/08/2024
4040,03/04/2015,whole milk,03/07/2024
3897,23/08/2015,baking powder,23/11/2024
2200,11/03/2015,grapes,11/06/2024
4073,29/01/2015,dessert,29/04/2024
3700,19/04/2015,whole milk,19/07/2024
3973,10/06/2015,curd,10/09/2024
2715,06/07/2015,canned beer,06/10/2024
3967,23/11/2015,whole milk,23/02/2025
4002,03/09/2015,whole milk,03/12/2024
2962,01/03/2015,tropical fruit,01/06/2024
4340,25/12/2015,candles,25/03/2025
2092,06/11/2015,root vegetables,06/02/2025
3143,24/05/2015,root vegetables,24/08/2024
2209,03/10/2015,other vegetables,03/01/2025
2816,22/08/2015,grapes,22/11/2024
2659,01/06/2015,rolls/buns,01/09/2024
1588,13/10/2015,zwieback,13/01/2025
1144,15/10/2015,root vegetables,15/01/2025
2166,10/12/2015,other vegetables,10/03/2025
3300,06/10/2015,root vegetables,06/01/2025
3944,03/01/2015,cream cheese ,03/04/2024
4979,24/04/2015,rolls/buns,24/07/2024
2630,21/01/2015,white wine,21/04/2024
4240,29/04/2015,chicken,29/07/2024
2357,08/07/2015,bottled beer,08/10/2024
1743,18/04/2015,dessert,18/07/2024
2331,15/02/2015,yogurt,15/05/2024
1643,28/04/2015,rolls/buns,28/07/2024
1291,20/03/2015,fruit/vegetable juice,20/06/2024
3675,04/07/2015,meat,04/10/2024
4134,06/11/2015,whole milk,06/02/2025
1363,21/06/2015,whole milk,21/09/2024
4212,01/05/2015,tropical fruit,01/08/2024
1500,21/03/2015,pork,21/06/2024
2622,01/10/2015,canned fish,01/01/2025
3543,18/03/2015,fruit/vegetable juice,18/06/2024
2525,24/05/2015,beef,24/08/2024
1264,12/10/2015,tropical fruit,12/01/2025
3601,06/07/2015,coffee,06/10/2024
1771,23/03/2015,sausage,23/06/2024
4694,06/02/2015,citrus fruit,06/05/2024
1122,21/12/2015,citrus fruit,21/03/2025
3507,12/08/2015,red/blush wine,12/11/2024
4524,26/04/2015,pastry,26/07/2024
3612,27/09/2015,other vegetables,27/12/2024
3262,11/06/2015,newspapers,11/09/2024
1897,25/01/2015,root vegetables,25/04/2024
1656,30/10/2015,sliced cheese,30/01/2025
3953,10/01/2015,berries,10/04/2024
1488,21/06/2015,grapes,21/09/2024
1652,17/03/2015,citrus fruit,17/06/2024
4953,16/09/2015,citrus fruit,16/12/2024
3445,30/04/2015,tropical fruit,30/07/2024
3180,15/03/2015,sugar,15/06/2024
4934,06/09/2015,other vegetables,06/12/2024
2980,27/04/2015,butter milk,27/07/2024
2763,13/02/2015,rolls/buns,13/05/2024
4819,04/03/2015,meat,04/06/2024
3169,02/07/2015,white bread,02/10/2024
1850,11/03/2015,grapes,11/06/2024
4285,29/12/2015,rolls/buns,29/03/2025
4366,13/08/2015,semi-finished bread,13/11/2024
2253,16/06/2015,rolls/buns,16/09/2024
3398,11/03/2015,citrus fruit,11/06/2024
2215,22/07/2015,frozen vegetables,22/10/2024
3737,03/03/2015,berries,03/06/2024
2649,28/11/2015,root vegetables,28/02/2025
3203,07/08/2015,pet care,07/11/2024
4261,16/02/2015,tropical fruit,16/05/2024
2435,17/07/2015,onions,17/10/2024
2046,21/08/2015,pork,21/11/2024
4267,11/02/2015,butter,11/05/2024
1086,28/12/2015,citrus fruit,28/03/2025
1992,04/01/2015,beef,04/04/2024
3622,26/07/2015,cake bar,26/10/2024
4700,27/06/2015,whole milk,27/09/2024
2272,16/05/2015,whole milk,16/08/2024
1663,19/05/2015,yogurt,19/08/2024
2519,03/06/2015,frozen fish,03/09/2024
2639,30/10/2015,other vegetables,30/01/2025
1466,19/04/2015,root vegetables,19/07/2024
4122,23/10/2015,UHT-milk,23/01/2025
3598,15/04/2015,UHT-milk,15/07/2024
3097,10/08/2015,brown bread,10/11/2024
1873,19/09/2015,sausage,19/12/2024
1537,01/02/2015,yogurt,01/05/2024
3960,25/03/2015,root vegetables,25/06/2024
1136,15/06/2015,citrus fruit,15/09/2024
2453,21/12/2015,bottled beer,21/03/2025
1746,15/02/2015,pip fruit,15/05/2024
3572,09/06/2015,rolls/buns,09/09/2024
3246,24/06/2015,root vegetables,24/09/2024
3207,26/11/2015,soda,26/02/2025
1042,12/02/2015,dessert,12/05/2024
1176,30/03/2015,tropical fruit,30/06/2024
3054,23/02/2015,sausage,23/05/2024
4486,02/12/2015,rolls/buns,02/03/2025
1580,05/12/2015,whole milk,05/03/2025
1623,02/11/2015,chocolate,02/02/2025
4169,24/11/2015,bottled water,24/02/2025
2254,24/01/2015,pork,24/04/2024
4095,01/11/2015,butter,01/02/2025
1264,17/11/2015,pastry,17/02/2025
3375,06/01/2015,citrus fruit,06/04/2024
3242,23/05/2015,whole milk,23/08/2024
2227,07/06/2015,herbs,07/09/2024
3847,03/12/2015,organic sausage,03/03/2025
3897,31/05/2015,root vegetables,31/08/2024
1799,27/09/2015,whole milk,27/12/2024
2920,26/04/2015,hard cheese,26/07/2024
3713,31/01/2015,citrus fruit,01/05/2024
4230,05/11/2015,grapes,05/02/2025
1455,18/03/2015,specialty bar,18/06/2024
3687,18/03/2015,white wine,18/06/2024
3869,01/08/2015,herbs,01/11/2024
2988,14/10/2015,yogurt,14/01/2025
4242,30/03/2015,brown bread,30/06/2024
4118,24/12/2015,other vegetables,24/03/2025
4996,24/10/2015,bottled beer,24/01/2025
4489,04/03/2015,frozen vegetables,04/06/2024
1199,09/11/2015,sausage,09/02/2025
4108,12/05/2015,candy,12/08/2024
3484,05/06/2015,candy,05/09/2024
1239,31/08/2015,tropical fruit,01/12/2024
4839,19/12/2015,shopping bags,19/03/2025
4748,07/05/2015,fruit/vegetable juice,07/08/2024
4426,06/06/2015,whole milk,06/09/2024
3571,11/12/2015,beef,11/03/2025
2852,08/06/2015,whipped/sour cream,08/09/2024
3638,26/05/2015,grapes,26/08/2024
3635,10/03/2015,rolls/buns,10/06/2024
2723,07/05/2015,tropical fruit,07/08/2024
3495,11/03/2015,root vegetables,11/06/2024
2813,16/11/2015,yogurt,16/02/2025
2799,02/09/2015,fruit/vegetable juice,02/12/2024
4723,22/05/2015,pastry,22/08/2024
3313,08/04/2015,tropical fruit,08/07/2024
4748,15/12/2015,soda,15/03/2025
2991,16/02/2015,root vegetables,16/05/2024
1483,01/04/2015,sausage,01/07/2024
3950,01/10/2015,tropical fruit,01/01/2025
1634,16/01/2015,yogurt,16/04/2024
2694,21/11/2015,pip fruit,21/02/2025
2707,18/10/2015,pastry,18/01/2025
2813,16/07/2015,tidbits,16/10/2024
2276,11/01/2015,pork,11/04/2024
4726,06/02/2015,liquor (appetizer),06/05/2024
4353,25/05/2015,hamburger meat,25/08/2024
4017,13/08/2015,pork,13/11/2024
1422,21/08/2015,curd,21/11/2024
2714,15/03/2015,chocolate,15/06/2024
2769,21/07/2015,canned beer,21/10/2024
4166,30/04/2015,mustard,30/07/2024
3614,02/03/2015,tropical fruit,02/06/2024
4361,05/09/2015,chicken,05/12/2024
1922,22/09/2015,other vegetables,22/12/2024
4728,06/09/2015,rolls/buns,06/12/2024
3646,08/08/2015,hard cheese,08/11/2024
1155,10/08/2015,house keeping products,10/11/2024
2119,11/06/2015,packaged fruit/vegetables,11/09/2024
1602,29/08/2015,beef,29/11/2024
1074,24/06/2015,instant coffee,24/09/2024
2256,11/04/2015,curd,11/07/2024
1348,17/09/2015,beef,17/12/2024
3806,28/08/2015,pork,28/11/2024
1711,06/06/2015,soda,06/09/2024
3959,12/04/2015,popcorn,12/07/2024
1590,15/08/2015,whole milk,15/11/2024
1962,08/06/2015,citrus fruit,08/09/2024
1766,21/01/2015,canned beer,21/04/2024
2551,21/10/2015,beef,21/01/2025
2294,23/09/2015,rolls/buns,23/12/2024
4531,29/05/2015,shopping bags,29/08/2024
2957,12/04/2015,bottled beer,12/07/2024
4415,27/01/2015,coffee,27/04/2024
1476,26/08/2015,shopping bags,26/11/2024
3978,23/07/2015,beef,23/10/2024
2062,22/09/2015,shopping bags,22/12/2024
3252,28/06/2015,brown bread,28/09/2024
3922,24/06/2015,grapes,24/09/2024
1491,17/10/2015,other vegetables,17/01/2025
3526,26/08/2015,white wine,26/11/2024
4060,11/12/2015,canned beer,11/03/2025
1067,08/04/2015,pork,08/07/2024
2840,27/01/2015,cat food,27/04/2024
4484,27/11/2015,pork,27/02/2025
2353,07/02/2015,bottled water,07/05/2024
3130,18/02/2015,bottled water,18/05/2024
4273,14/06/2015,soda,14/09/2024
4565,30/12/2015,canned beer,30/03/2025
2504,14/08/2015,tropical fruit,14/11/2024
4127,23/10/2015,popcorn,23/01/2025
2690,01/04/2015,whole milk,01/07/2024
4129,22/09/2015,onions,22/12/2024
4511,29/06/2015,pork,29/09/2024
1602,04/08/2015,whole milk,04/11/2024
4369,01/02/2015,yogurt,01/05/2024
1302,29/09/2015,root vegetables,29/12/2024
3326,30/04/2015,chicken,30/07/2024
2066,21/05/2015,zwieback,21/08/2024
3483,15/01/2015,chicken,15/04/2024
2840,12/02/2015,curd,12/05/2024
1807,18/05/2015,margarine,18/08/2024
2067,12/08/2015,meat,12/11/2024
3783,17/02/2015,salt,17/05/2024
2884,04/01/2015,napkins,04/04/2024
2908,15/03/2015,misc. beverages,15/06/2024
1330,10/07/2015,processed cheese,10/10/2024
2293,08/05/2015,chicken,08/08/2024
3718,20/05/2015,whole milk,20/08/2024
4338,25/01/2015,cream cheese ,25/04/2024
3486,08/11/2015,citrus fruit,08/02/2025
3635,04/09/2015,red/blush wine,04/12/2024
2857,18/02/2015,tropical fruit,18/05/2024
3684,13/08/2015,whole milk,13/11/2024
3120,20/10/2015,other vegetables,20/01/2025
3872,19/03/2015,whole milk,19/06/2024
2777,07/04/2015,whole milk,07/07/2024
2702,27/05/2015,whipped/sour cream,27/08/2024
4796,29/06/2015,beef,29/09/2024
1564,23/10/2015,pasta,23/01/2025
2740,02/07/2015,curd,02/10/2024
1833,13/04/2015,tropical fruit,13/07/2024
1757,23/12/2015,other vegetables,23/03/2025
2975,24/10/2015,cream cheese ,24/01/2025
4032,10/08/2015,sausage,10/11/2024
3979,16/09/2015,ham,16/12/2024
3772,09/03/2015,yogurt,09/06/2024
4523,28/10/2015,butter,28/01/2025
4004,19/04/2015,citrus fruit,19/07/2024
2936,08/06/2015,domestic eggs,08/09/2024
2394,21/06/2015,newspapers,21/09/2024
4616,16/08/2015,semi-finished bread,16/11/2024
2362,08/07/2015,bottled beer,08/10/2024
3593,03/11/2015,berries,03/02/2025
4389,27/08/2015,cake bar,27/11/2024
3206,11/08/2015,rum,11/11/2024
4601,04/01/2015,salty snack,04/04/2024
4382,13/11/2015,hamburger meat,13/02/2025
2718,08/06/2015,chicken,08/09/2024
4691,12/10/2015,white wine,12/01/2025
3735,28/11/2015,rolls/buns,28/02/2025
3900,20/12/2015,sausage,20/03/2025
4959,30/06/2015,frozen vegetables,30/09/2024
1815,30/08/2015,sausage,30/11/2024
2454,08/04/2015,meat,08/07/2024
4778,15/01/2015,hamburger meat,15/04/2024
2289,04/11/2015,tropical fruit,04/02/2025
1734,13/07/2015,bottled water,13/10/2024
4019,05/02/2015,meat,05/05/2024
4605,28/05/2015,butter,28/08/2024
4864,14/11/2015,soda,14/02/2025
4205,22/02/2015,herbs,22/05/2024
1862,03/08/2015,other vegetables,03/11/2024
1846,19/07/2015,oil,19/10/2024
2019,28/05/2015,waffles,28/08/2024
2042,19/11/2015,pork,19/02/2025
1768,26/05/2015,pickled vegetables,26/08/2024
3847,26/03/2015,candy,26/06/2024
3557,20/07/2015,chocolate marshmallow,20/10/2024
3975,27/02/2015,tropical fruit,27/05/2024
4198,18/03/2015,yogurt,18/06/2024
2580,04/09/2015,yogurt,04/12/2024
3474,25/08/2015,frozen potato products,25/11/2024
1678,14/11/2015,canned beer,14/02/2025
4254,14/08/2015,ham,14/11/2024
4704,21/08/2015,butter,21/11/2024
3343,10/05/2015,specialty bar,10/08/2024
3812,24/06/2015,berries,24/09/2024
3093,13/03/2015,yogurt,13/06/2024
2170,18/06/2015,ham,18/09/2024
4867,29/10/2015,beef,29/01/2025
3899,23/03/2015,tropical fruit,23/06/2024
2941,03/10/2015,other vegetables,03/01/2025
1958,03/07/2015,liquor,03/10/2024
2760,08/08/2015,tropical fruit,08/11/2024
4413,03/08/2015,beverages,03/11/2024
1737,15/05/2015,citrus fruit,15/08/2024
4202,18/02/2015,meat,18/05/2024
1065,13/11/2015,tropical fruit,13/02/2025
3819,28/06/2015,fruit/vegetable juice,28/09/2024
2854,08/02/2015,candy,08/05/2024
4387,16/09/2015,rolls/buns,16/12/2024
4530,12/04/2015,fruit/vegetable juice,12/07/2024
4191,03/11/2015,whipped/sour cream,03/02/2025
3102,04/12/2015,other vegetables,04/03/2025
1946,25/01/2015,whole milk,25/04/2024
2156,15/05/2015,whole milk,15/08/2024
1444,16/12/2015,other vegetables,16/03/2025
1699,14/05/2015,pip fruit,14/08/2024
4954,04/05/2015,grapes,04/08/2024
2207,08/04/2015,cream cheese ,08/07/2024
4826,28/01/2015,tropical fruit,28/04/2024
2374,08/06/2015,tropical fruit,08/09/2024
1604,18/08/2015,margarine,18/11/2024
4437,29/11/2015,frozen fish,01/03/2025
2319,10/05/2015,yogurt,10/08/2024
3018,27/06/2015,root vegetables,27/09/2024
1195,28/09/2015,soft cheese,28/12/2024
1768,04/09/2015,root vegetables,04/12/2024
3017,28/09/2015,tropical fruit,28/12/2024
3384,29/11/2015,frozen vegetables,01/03/2025
1918,30/01/2015,meat,30/04/2024
2524,17/10/2015,citrus fruit,17/01/2025
2798,17/06/2015,bottled beer,17/09/2024
2096,25/01/2015,soda,25/04/2024
1489,13/03/2015,whole milk,13/06/2024
1431,20/07/2015,domestic eggs,20/10/2024
2747,05/07/2015,butter,05/10/2024
3054,22/03/2015,salt,22/06/2024
2691,09/10/2015,tropical fruit,09/01/2025
1752,19/04/2015,butter milk,19/07/2024
3027,15/09/2015,red/blush wine,15/12/2024
4452,17/06/2015,pork,17/09/2024
4129,13/08/2015,cereals,13/11/2024
3523,09/11/2015,other vegetables,09/02/2025
2128,11/02/2015,chocolate marshmallow,11/05/2024
4867,03/02/2015,whole milk,03/05/2024
4762,30/10/2015,pork,30/01/2025
1632,29/05/2015,whole milk,29/08/2024
4018,17/11/2015,yogurt,17/02/2025
1722,13/07/2015,whole milk,13/10/2024
1438,19/10/2015,whole milk,19/01/2025
3958,27/10/2015,brown bread,27/01/2025
3292,13/09/2015,pork,13/12/2024
2861,23/02/2015,tropical fruit,23/05/2024
1757,24/02/2015,salty snack,24/05/2024
1509,30/12/2015,liquor (appetizer),30/03/2025
2364,11/05/2015,white bread,11/08/2024
3084,26/10/2015,canned beer,26/01/2025
1850,17/02/2015,soda,17/05/2024
1949,17/03/2015,tropical fruit,17/06/2024
4740,02/10/2015,UHT-milk,02/01/2025
1072,23/10/2015,canned beer,23/01/2025
4196,09/07/2015,other vegetables,09/10/2024
4814,13/09/2015,whole milk,13/12/2024
1514,28/02/2015,whole milk,28/05/2024
4584,25/10/2015,yogurt,25/01/2025
2751,03/02/2015,brown bread,03/05/2024
4155,24/09/2015,pork,24/12/2024
4670,11/10/2015,whole milk,11/01/2025
4566,27/07/2015,pastry,27/10/2024
2371,30/08/2015,frozen fish,30/11/2024
3442,14/11/2015,pip fruit,14/02/2025
3090,27/09/2015,root vegetables,27/12/2024
1457,09/01/2015,butter milk,09/04/2024
4952,08/04/2015,whole milk,08/07/2024
3165,11/01/2015,tropical fruit,11/04/2024
2608,19/09/2015,other vegetables,19/12/2024
2040,07/10/2015,sugar,07/01/2025
1327,09/08/2015,curd,09/11/2024
3363,07/01/2015,herbs,07/04/2024
1731,09/09/2015,tropical fruit,09/12/2024
2760,02/08/2015,other vegetables,02/11/2024
3120,14/01/2015,white bread,14/04/2024
1332,30/04/2015,whole milk,30/07/2024
4530,12/09/2015,domestic eggs,12/12/2024
3145,23/02/2015,citrus fruit,23/05/2024
1099,13/08/2015,pork,13/11/2024
3188,06/12/2015,other vegetables,06/03/2025
3748,13/10/2015,canned beer,13/01/2025
4655,31/03/2015,whole milk,01/07/2024
1827,01/05/2015,whole milk,01/08/2024
2485,17/02/2015,pork,17/05/2024
4683,15/01/2015,tropical fruit,15/04/2024
4358,06/11/2015,pasta,06/02/2025
1931,09/10/2015,other vegetables,09/01/2025
2490,18/12/2015,pip fruit,18/03/2025
4842,08/12/2015,yogurt,08/03/2025
4616,01/01/2015,hamburger meat,01/04/2024
2810,22/09/2015,citrus fruit,22/12/2024
2785,18/10/2015,pork,18/01/2025
3591,20/07/2015,newspapers,20/10/2024
3896,10/09/2015,dessert,10/12/2024
3842,01/07/2015,bottled water,01/10/2024
2648,10/07/2015,root vegetables,10/10/2024
4688,02/10/2015,dessert,02/01/2025
3511,26/08/2015,bottled water,26/11/2024
3084,04/09/2015,whole milk,04/12/2024
3810,07/05/2015,other vegetables,07/08/2024
4348,26/02/2015,beverages,26/05/2024
3584,10/03/2015,photo/film,10/06/2024
2620,11/06/2015,pork,11/09/2024
2716,18/01/2015,beef,18/04/2024
3797,10/08/2015,other vegetables,10/11/2024
2976,02/06/2015,citrus fruit,02/09/2024
2762,07/11/2015,whole milk,07/02/2025
3752,25/04/2015,root vegetables,25/07/2024
1659,30/11/2015,whole milk,02/03/2025
4109,08/02/2015,whipped/sour cream,08/05/2024
1542,07/08/2015,whole milk,07/11/2024
2068,07/06/2015,whole milk,07/09/2024
4509,14/06/2015,whole milk,14/09/2024
4646,14/06/2015,hamburger meat,14/09/2024
2122,07/04/2015,tropical fruit,07/07/2024
2730,15/06/2015,abrasive cleaner,15/09/2024
1800,31/07/2015,rolls/buns,31/10/2024
1456,18/09/2015,whole milk,18/12/2024
1138,02/09/2015,root vegetables,02/12/2024
4104,12/06/2015,other vegetables,12/09/2024
4985,28/02/2015,pickled vegetables,28/05/2024
3181,13/12/2015,chicken,13/03/2025
3178,21/10/2015,other vegetables,21/01/2025
1688,10/11/2015,root vegetables,10/02/2025
1488,28/11/2015,curd,28/02/2025
4975,08/05/2015,yogurt,08/08/2024
4697,09/01/2015,whole milk,09/04/2024
4742,11/01/2015,meat,11/04/2024
2640,22/04/2015,other vegetables,22/07/2024
2548,25/12/2015,citrus fruit,25/03/2025
2825,29/12/2015,root vegetables,29/03/2025
2592,04/07/2015,onions,04/10/2024
3622,28/12/2015,bottled beer,28/03/2025
4852,21/08/2015,pip fruit,21/11/2024
1839,03/09/2015,herbs,03/12/2024
2413,04/04/2015,other vegetables,04/07/2024
2982,14/06/2015,soda,14/09/2024
1981,31/10/2015,specialty chocolate,31/01/2025
4440,21/09/2015,fruit/vegetable juice,21/12/2024
3497,24/11/2015,pork,24/02/2025
3668,18/12/2015,root vegetables,18/03/2025
4460,28/05/2015,red/blush wine,28/08/2024
1335,16/01/2015,coffee,16/04/2024
4303,07/12/2015,white bread,07/03/2025
3508,28/02/2015,citrus fruit,28/05/2024
1959,19/03/2015,other vegetables,19/06/2024
3856,06/03/2015,long life bakery product,06/06/2024
3141,29/07/2015,whole milk,29/10/2024
4640,25/09/2015,pip fruit,25/12/2024
4851,25/05/2015,herbs,25/08/2024
3306,22/09/2015,sausage,22/12/2024
2193,08/04/2015,cream cheese ,08/07/2024
1156,13/09/2015,other vegetables,13/12/2024
4596,08/04/2015,whole milk,08/07/2024
1245,08/10/2015,rolls/buns,08/01/2025
1515,05/07/2015,other vegetables,05/10/2024
2564,14/07/2015,white wine,14/10/2024
4527,18/10/2015,tropical fruit,18/01/2025
2487,09/07/2015,other vegetables,09/10/2024
3420,27/02/2015,root vegetables,27/05/2024
4442,28/11/2015,whipped/sour cream,28/02/2025
3164,30/04/2015,pork,30/07/2024
3601,01/04/2015,meat,01/07/2024
3176,25/05/2015,whole milk,25/08/2024
2568,22/07/2015,tropical fruit,22/10/2024
1856,26/10/2015,tropical fruit,26/01/2025
3859,30/09/2015,nuts/prunes,30/12/2024
1668,21/08/2015,female sanitary products,21/11/2024
4499,23/08/2015,other vegetables,23/11/2024
1753,21/08/2015,pickled vegetables,21/11/2024
3829,25/06/2015,tropical fruit,25/09/2024
4825,08/01/2015,root vegetables,08/04/2024
3694,10/11/2015,other vegetables,10/02/2025
4147,02/01/2015,bottled beer,02/04/2024
2196,09/10/2015,house keeping products,09/01/2025
2229,22/05/2015,rolls/buns,22/08/2024
4724,03/09/2015,hamburger meat,03/12/2024
3066,11/10/2015,other vegetables,11/01/2025
1120,08/06/2015,other vegetables,08/09/2024
4769,22/08/2015,meat,22/11/2024
4711,17/09/2015,napkins,17/12/2024
2391,22/06/2015,hamburger meat,22/09/2024
1216,04/03/2015,onions,04/06/2024
3154,14/05/2015,grapes,14/08/2024
3911,30/07/2015,dessert,30/10/2024
3111,15/10/2015,whole milk,15/01/2025
1385,26/11/2015,frozen vegetables,26/02/2025
1158,21/03/2015,citrus fruit,21/06/2024
2733,22/07/2015,yogurt,22/10/2024
4999,26/12/2015,herbs,26/03/2025
2882,12/06/2015,other vegetables,12/09/2024
2590,25/06/2015,dog food,25/09/2024
4249,04/08/2015,bottled water,04/11/2024
3012,03/05/2015,onions,03/08/2024
1533,07/11/2015,other vegetables,07/02/2025
1667,12/01/2015,onions,12/04/2024
4323,13/05/2015,beef,13/08/2024
2087,22/02/2015,citrus fruit,22/05/2024
1853,31/05/2015,ice cream,31/08/2024
2157,29/10/2015,meat,29/01/2025
1136,29/10/2015,beef,29/01/2025
2049,07/10/2015,whole milk,07/01/2025
3122,02/05/2015,chicken,02/08/2024
2245,15/05/2015,whole milk,15/08/2024
4746,18/10/2015,ham,18/01/2025
4224,24/02/2015,tropical fruit,24/05/2024
4219,19/03/2015,other vegetables,19/06/2024
2641,01/01/2015,other vegetables,01/04/2024
3173,25/07/2015,root vegetables,25/10/2024
2191,19/10/2015,root vegetables,19/01/2025
4212,07/04/2015,whipped/sour cream,07/07/2024
1902,01/12/2015,butter,01/03/2025
1347,27/03/2015,pip fruit,27/06/2024
1578,23/06/2015,bottled beer,23/09/2024
1264,23/11/2015,curd,23/02/2025
4632,30/09/2015,canned beer,30/12/2024
3452,01/11/2015,other vegetables,01/02/2025
4822,10/02/2015,whole milk,10/05/2024
3987,18/06/2015,pip fruit,18/09/2024
1672,07/10/2015,yogurt,07/01/2025
4864,01/12/2015,oil,01/03/2025
3368,09/03/2015,domestic eggs,09/06/2024
1283,22/09/2015,chicken,22/12/2024
4428,28/06/2015,sugar,28/09/2024
2577,25/10/2015,dessert,25/01/2025
1973,24/10/2015,specialty chocolate,24/01/2025
3284,23/01/2015,newspapers,23/04/2024
1905,19/05/2015,other vegetables,19/08/2024
2226,09/03/2015,whole milk,09/06/2024
1932,04/09/2015,zwieback,04/12/2024
4506,11/08/2015,bottled water,11/11/2024
1843,27/11/2015,root vegetables,27/02/2025
3973,27/07/2015,coffee,27/10/2024
1651,28/07/2015,chicken,28/10/2024
3997,12/10/2015,bottled beer,12/01/2025
4796,25/08/2015,other vegetables,25/11/2024
1245,24/09/2015,other vegetables,24/12/2024
3579,17/08/2015,other vegetables,17/11/2024
4387,10/02/2015,baking powder,10/05/2024
2496,29/06/2015,shopping bags,29/09/2024
3590,28/03/2015,other vegetables,28/06/2024
2890,26/04/2015,newspapers,26/07/2024
1401,27/01/2015,soda,27/04/2024
3297,21/05/2015,meat,21/08/2024
2867,23/12/2015,bottled water,23/03/2025
1365,20/05/2015,other vegetables,20/08/2024
2355,24/07/2015,bottled beer,24/10/2024
1170,19/03/2015,sparkling wine,19/06/2024
3554,21/03/2015,meat,21/06/2024
4171,26/01/2015,newspapers,26/04/2024
3963,17/09/2015,pork,17/12/2024
3076,08/12/2015,butter milk,08/03/2025
1629,17/05/2015,ham,17/08/2024
1366,30/05/2015,waffles,30/08/2024
3677,29/07/2015,rolls/buns,29/10/2024
